CPLEX 12.6.0.0: time=600
CPLEX 12.6.0.0: optimal integer solution; objective 3302537
4 MIP simplex iterations
0 branch-and-bound nodes
Items in the knapsack:
ID	Cost	Value
922	2935	3935
924	4472	5472
925	6080	7080
927	17	1017
928	6295	7295
929	5984	6984
930	6914	7914
931	6427	7427
933	3675	4675
935	336	1336
938	1530	2530
940	2535	3535
941	5582	6582
942	5226	6226
943	6052	7052
944	5836	6836
946	7037	8037
947	4355	5355
948	7738	8738
949	4547	5547
950	4783	5783
951	4736	5736
952	1572	2572
953	1256	2256
954	5087	6087
955	108	1108
957	1153	2153
958	962	1962
961	2786	3786
962	1555	2555
963	654	1654
964	5678	6678
966	6904	7904
967	1972	2972
968	2904	3904
969	1585	2585
970	1424	2424
971	3229	4229
972	4871	5871
973	4654	5654
974	6536	7536
975	469	1469
976	2749	3749
977	6020	7020
978	1436	2436
981	1162	2162
982	6731	7731
983	3090	4090
984	5539	6539
985	6754	7754
986	5300	6300
987	2267	3267
988	3329	4329
990	1389	2389
991	928	1928
992	547	1547
993	2015	3015
994	4546	5546
996	3924	4924
997	6493	7493
999	208	1208
1001	1078	2078
1002	357	1357
1005	349	1349
1006	3729	4729
1007	4219	5219
1008	3588	4588
1010	556	1556
1011	6591	7591
1012	3807	4807
1015	4245	5245
1017	1382	2382
1019	534	1534
1020	3573	4573
1021	5108	6108
1022	3381	4381
1023	5852	6852

costBound = 2581540

totalCost = 2581540

totalValue = 3302540

